plotcode,block,plot,sowndiv,numfg,numgrass,numsherb,numtherb,numleg,gr.ef,sh.ef,th.ef,leg.ef,root_StandBiom,shoot_StandBiom
B4A02,B4,A02,16,3,5,5,6,0,1,1,1,0,828.214376,181.5125
B4A04,B4,A04,4,4,1,1,1,1,1,1,1,1,710.0019748,155.23
B4A06,B4,A06,8,1,0,8,0,0,0,1,0,0,1324.831187,141.7825
B4A07,B4,A07,4,2,0,0,2,2,0,0,1,1,141.0441633,202.9325
B4A08,B4,A08,8,2,4,4,0,0,1,1,0,0,866.1864721,73.2275
B4A09,B4,A09,1,1,0,0,0,1,0,0,0,1,148.3544848,138
B4A10,B4,A10,8,3,2,3,3,0,1,1,1,0,1316.724006,88.255
B4A11,B4,A11,4,3,1,0,2,1,1,0,1,1,303.6035381,169.915
B4A12,B4,A12,1,1,1,0,0,0,1,0,0,0,327.7172049,83.9925
B4A13,B4,A13,1,1,0,0,1,0,0,0,1,0,115.7871761,125.1725
B4A14,B4,A14,2,1,0,2,0,0,0,1,0,0,360.4577439,110.23
B4A15,B4,A15,2,2,0,1,0,1,0,1,0,1,110.4170348,157.24
B4A16,B4,A16,8,4,2,2,2,2,1,1,1,1,405.6015771,115.1175
B4A17,B4,A17,2,1,0,0,2,0,0,0,1,0,935.9290171,213.28
B4A18,B4,A18,16,4,4,4,4,4,1,1,1,1,1346.900736,431.82
B4A20,B4,A20,16,2,0,0,8,8,0,0,1,1,1277.989696,240.0975
B4A21,B4,A21,2,2,0,0,1,1,0,0,1,1,97.39011132,209.66
B4A22,B4,A22,4,1,0,0,4,0,0,0,1,0,510.0594873,213.46
