traits: name of the variable how it is used in analysis; this is for fast and easy typing in R but often not clear for others,,,,,
"longName: a long version of the variable names, that is generally intuitive understandable",,,,,
meaning: a short description of the variable; can contain information about calculation or meaning,,,,,
unit: the measurement unit of the variables; I tried to use SI units; to avoid very height or small numbers I used appropriate translation units.,,,,,
"variable type: says, whether a variable is categorial or numeric (continous) or binary",,,,,
category: p= performance measure; f=functional trait; c=category or help variable needed for calculations,,,,,
,,,,,
,,,,,
traits,longName,explanation,unit,variable type,category
k.rld,vertRootLengthDistrib,"the k-value of the function w-w0*e*-(k*t), the smaller the k-value, the more of root length is concentrated in the upper soil layers",1,num,f
mlw,maxLeafWidth,maximum leaf width in cm,cm,num,f
alw,averageLeafWidth,the average leaf width in cm,cm,num,f
ll,leafLength,leaf length in cm,cm,num,f
laBM,LivingAboveBM,living aboveground biomass in g,g,num,p
lt,leafThickness,thickness of leaves measured in the middle of an intercostal field using a calliper,mm,num,f
pp,penetrPersist,penetration persistence (power needed to stick a needle through the leaf in Newton,N,num,f
ler,lefEmissionRate,number of leafs produced per day,count,num,c
fc,formCoef,Form coefficient = leaf area / leaf perimeter in mm²/ mm,mm2*mm-1,num,f
fl,flowering,had the plant produced flowers by the end of the growing time (boolean),0 or 1,binary,f
h1,standingHight,plant height measured from soil surface to the highest leaf,cm,num,f
h2,stretchedHeight,plant height measured from soil surface to the highest leaf of the upwards stretched shoot,cm,num,f
pat,pathogens,fraction of aboveground material covert by pathogens,%,num,p
herb,herbivory,fraction of aboveground material damaged by herbivores,%,num,p
condUpside,condUpside,gas exchange on the leafs dorsal side,myMol*mm-2*s-1,num,p
condDownside,condDownside,gas exchange on the leafs ventral side,myMol*mm-2*s-1,num,p
cond,conductance,sum of dorsal and ventral gas exchange,myMol*mm-2*s-1,num,f
sla,specLeafArea,specific leaf area (projected area/leaf dry mass) in cm²/g,cm2*g-1,num,f
lSize,leafSize,Average projected area of a single leaf in cm²,cm2,num,f
la,leafArea,total leaf area of a plant in cm²,cm2,num,p
lar,leafAreaRatio,leaf area ratio = leaf area / aboveground dry biomass,cm2*g-1,num,f
lmr,leafMassRatio,leaf mass ratio = leaf mass / aboveground dry biomass,g*g-1,num,f
ar,aspectRatio,ratio of leaf width and leaf length,cm*cm-1,num,f
lsd,leafSpecificDensity,leaf dry weight/ leaf fresh volume (leaf fresh volume=leaf area*leaf thickness),g*cm-3,num,f
ldmc,leafDryMatterCont,leaf dry weight/leaf fresh weight,g*g-1,num,f
sd,meanStemDiamBottom,diameter of the stem piece which was used for ssd,mm,num,f
sdmc,stemDryMatterCont,stem dry weight/stem fresh weight,g*g-1,num,f
ssd,stemSpecDens,stem specific density = stem dry weight / stem fresh volume,g*cm-3,num,f
erect,erectiveness,ratio of growth height and stretched height,cm*cm-1,num,f
lbpr,leafBiomProdRate,maxim number of leaves produced per day x average leaf dry weight,g*d-1,num,p
srr,shootRootRatio,living above biomass per root biomass,g*g-1,num,f
SeedsProjArea,projectedArea,gives a good measure for seed size,mm²,num,f
SeedsStraightLength,StraightLength,absolute seed length,mm,num,f
SeedsCurvedLength,CurvedLength,"real length, if the seed was stretched",mm,num,f
SeedsStraightWidth,StraightWidth,absolute seed width,mm,num,f
SeedsCurvedWidth,CurvedWidth,"real width, if the seed was stretched",mm,num,f
SeedsCurvature,Curvature,degree of curvature,?,num,f
SeedsVolCircle,VolCircle,,mm3,num,f
SeedsVolEllipsoid,VolEllipsoid,,mm3,num,f
SeedsVolRectangle,VolRectangle,,mm3,num,f
SeedsVolConstPerim,VolConstPerim,,mm3,num,f
SeedsSurfAreaCircle,SurfAreaCircle,,mm2,num,f
SeedsSurfAreaEllipsoid,SurfAreaEllipsoid,,mm2,num,f
SeedsSurfAreaRectangle,SurfAreaRectangle,,mm2,num,f
SeedsSurfAreaConstPerim,SurfAreaConstPerim,,mm2,num,f
SeedsSurfAreaPropPerim,SurfAreaPropPerim,,mm2,num,f
SeedsWLRatio,WLRatio,ratio of seed straight width to straight length,mm*mm-1,num,f
SeedsProjPerimeter,ProjPerimeter,real seed perimeter,mm,num,f
SeedsTCW,thousandCornWeight,thousand corn weight,g,num,f
leafDeltaN,leafDeltaN,ratio of nitrogen isotop 15 to N isotop 14; N deposit into leaves; 15NH315NO4 had been applied 48 hours before harvest. 15N was measured using a mass spectrometer,o/oo,num,c
[LN],leafN,nitrogen concentration in leaves,%,num,f
rootDeltaN,rootDeltaN,ratio of nitrogen isotop 15 to N isotop 14; N uptake into roots; 15NH315NO4 had been applied 48 hours before harvest. 15N was measured using a mass spectrometer,o/oo,num,c
[RN],rootN,nitrogen concentration in roots,%,num,f
[LC],leafC,leaf carbon concentration,%,num,f
[RC],rootC,root carbon concentration,%,num,f
RNcont,Root_A_Ncontent,N content of root biomass in layer A (0-10 cm),g,num,c
LNcont,plantLeafNcontent,N content of the total leaf biomass,g,num,c
LCN,leafC/N,C-N ratio in leaves,g*g-1,num,f
RCN,rootCN,C-N ratio in roots,g*g-1,num,f
R15N/14N,root15N/14Nmass ratio,ratio of gramm 15N to one gramm 14N in roots,g(15N)*g(14N)-1,num,c
R15Nratio,root15N/totalN,15N concentration in total root nitrogen,g(15N)*g(Nges)-1,num,c
R15Ncont,R15Ncont,total root 15N content (the amount of 15N captured within 48 h),mg,num,c
L15N/14N,leaf15N/14Nmass ratio,ratio of gramm 15N to one gramm 14N in leaves,g(15N)*g(14N)-1,num,c
L15Nratio,leaf15N/totalN,15N concentration in total leaf nitrogen,g(15N)*g(Nges)-1,num,c
L15Ncont,L15Ncont,total leaf 15N content (the amount of 15N deposited into leaves within 48 h),mg,num,c
LNU,Leaf15Nuptake,total leaf 15N content (the amount of 15N captured within 48 h),mg*d-1,num,p
RNU,root15Nuptake,total amount of 15N captured by roots within 48h,mg*d-1,num,p
nute,NuptakeEfficiency,RNU/rbm*1000,mg*g-1,num,f
Nacr,NAllocationRate,LNU/RNU,mg*mg-1,num,f
BM_Target_Inflorescence,,,,,
DurationFlowreing_Target_Phenology,,,,,
Flowering_Target_Phenology,,,,,
Foliage_Target_Saisonality,,,,,
Height_Target_Shoot,,,,,
LifeCycle_Target,,,,,
Mycorrhiza_Target_Frequency,,,,,
Mycorrhiza_Target_Type,,,,,
NrInflorescence_Target_Shoot,,,,,
NrSeedling_Target,,,,,
P_Target_leaf,,,,,
RGR,,,,,
Reproduction_Target_Vegatative,,,,,
RootingDepth_Target,,,,,
RootingType_Target,,,,,
